Game ID,Move Number,Row,Col,Action,Board State,Mines Flagged,Hidden Cells,Safe,Game Outcome
4332017504,3,2,1,f,"[['(0)', '(0)', '(0)', '(1)', '-'], ['(2)', '(3)', '(2)', '(2)', '-'], ['F', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",1,16,FALSE,Ongoing
4332017504,4,2,2,f,"[['(0)', '(0)', '(0)', '(1)', '-'], ['(2)', '(3)', '(2)', '(2)', '-'], ['F', 'F', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",2,15,FALSE,Ongoing
4332017504,5,2,3,r,"[['(0)', '(0)', '(0)', '(1)', '-'], ['(2)', '(3)', '(2)', '(2)', '-'], ['F', 'F', 'F', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",3,14,FALSE,Ongoing
4332017504,6,3,2,r,"[['(0)', '(0)', '(0)', '(1)', '-'], ['(2)', '(3)', '(2)', '(2)', '-'], ['F', 'F', 'F', '(2)', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",3,13,FALSE,Ongoing
4332017504,7,3,1,r,"[['(0)', '(0)', '(0)', '(1)', '-'], ['(2)', '(3)', '(2)', '(2)', '-'], ['F', 'F', 'F', '(2)', '-'], ['-', '-', '(3)', '-', '-'], ['-', '-', '-', '-', '-']]",3,12,FALSE,Ongoing
4332017504,8,3,3,r,"[['(0)', '(0)', '(0)', '(1)', '-'], ['(2)', '(3)', '(2)', '(2)', '-'], ['F', 'F', 'F', '(2)', '-'], ['-', '(4)', '(3)', '-', '-'], ['-', '-', '-', '-', '-']]",3,11,FALSE,Ongoing
4332017504,9,4,4,r,"[['(0)', '(0)', '(0)', '(1)', '-'], ['(2)', '(3)', '(2)', '(2)', '-'], ['F', 'F', 'F', '(2)', '-'], ['-', '(4)', '(3)', '(1)', '-'], ['-', '-', '-', '-', '-']]",3,10,FALSE,Ongoing
4332017504,End,,,,,,,,Win
4301936480,1,0,0,r,"[['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,25,FALSE,Ongoing
4301936480,2,0,1,r,"[['(1)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,24,FALSE,Ongoing
4301936480,3,0,2,r,"[['(1)', '(1)', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,23,FALSE,Ongoing
4301936480,4,0,3,r,"[['(1)', '(1)', '(1)', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,22,FALSE,Ongoing
